Skills,Tools,Clean up to:,This skill is also searchable by:,total_profiles_usage,added_by,is_depricated
CCP,No,,,1,,TRUE
CDP,No,,,1,user,FALSE
Cell and Molecular Biology,No,,,1,user,FALSE
Choice Modeling,No,,,1,user,FALSE
CISSP,No,,,1,,TRUE
CITP,No,,,1,,TRUE
Classy,No,,,1,,TRUE
Client Communication,No,,,1,,TRUE
Cloud Conversion,No,,,1,user,FALSE
Cluster Analysis,No,,,1,user,FALSE
Clustering,No,,,1,,TRUE
COBOL,No,,,1,user,FALSE
cognitive walkthroughs,No,,,1,user,FALSE
Commercial leadership,No,,,1,user,FALSE
Commercial modelling - advice & implementation,No,,,1,user,FALSE
commercial strategy,No,,,1,user,FALSE
Communication,No,,,1,,TRUE
Competitive intelligence benchmarking & evaluation,No,,,1,user,FALSE
Competitor Analysis,No,,,1,user,FALSE
Complex Problem Solving,No,,,1,user,FALSE
Conjoint Analysis,No,,,1,user,FALSE
Constant Contact,No,,,1,,FALSE
Consultancy,No,,,1,,TRUE
Consulting,No,,,1,user,FALSE
Consumer & Market Insights,No,,,1,user,FALSE
Consumer Marketing,No,,,1,user,FALSE
ContactForms123,No,,,1,,TRUE
Content Development,No,,,1,user,FALSE
Content Management,No,,,1,user,FALSE
content optimisation,No,,,1,user,FALSE
Content Personalisation,No,,,1,,TRUE
Content Planning,No,,,1,user,FALSE
Content Square,No,,,1,user,FALSE
content writing,No,,,1,user,FALSE
Contract negotiation,No,,,1,user,FALSE
conversion analysis,No,,,1,,TRUE
conversion audits,No,,,1,,TRUE
conversion optimisation,No,,,1,,TRUE
cookies,No,,,1,,TRUE
Copywriting,No,,,1,user,FALSE
Correspondence Analysis,No,,,1,user,FALSE
Critical Thinking,No,,,1,user,FALSE
CRM & Email Marketing,No,,,1,user,FALSE
CRM Integration,No,,,1,user,FALSE
CRM Strategy,No,,,1,user,FALSE
CRO,No,,,1,user,FALSE
CRO Programme,No,,,1,user,FALSE
cross device graphs,No,,,1,,TRUE
Cross-channel analysis,No,,,1,,TRUE
Cross-functional Leadership,No,,,1,user,FALSE
CSS3,No,,,1,,TRUE
Customer Acquisition,No,,,1,user,FALSE
Customer advocacy program development,No,,,1,user,FALSE
customer analytics,No,,,1,user,FALSE
Customer Decision Journeys,No,,,1,user,FALSE
customer experience,No,,,1,,TRUE
customer experience optimization,No,,,1,,TRUE
Customer Identity Resolution,No,,,1,user,FALSE
customer insight,No,,,1,,TRUE
Customer intelligence,No,,,1,,TRUE
customer journeys,No,,,1,,TRUE
Customer Management,No,,,1,,TRUE
Customer relationship management,No,,,1,user,FALSE
d3.js,No,,,1,user,FALSE
dashboarding,No,,,1,user,FALSE
Data & Analytics,No,,,1,,TRUE
data activation,No,,,1,,TRUE
data aggregation,No,,,1,,TRUE
Data analysis and visualisation,No,,,1,user,FALSE
Data Cleansing,No,,,1,,TRUE
Data Collection,No,,,1,user,FALSE
data feeds,No,,,1,,TRUE
data governance,No,,,1,,TRUE
Data Import/Export,No,,,1,user,FALSE
Data Integration,No,,,1,user,FALSE
data management,No,,,1,,TRUE
data management platform,No,,,1,,TRUE
Data Manipulation,No,,,1,user,FALSE
Data migration,No,,,1,,TRUE
data mining,No,,,1,,TRUE
Data modelling,No,,,1,,TRUE
data monetization,No,,,1,user,FALSE
Data Monetization Planning,No,,,1,user,FALSE
